EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
stop,2023-04-24T17:59:00.880914,0.000127,257,9873,running,cli,,,,,,,,,,,"check data kickers",
stop,2023-04-24T17:59:00.881271,0.003821,257,9873,running,cli,,,write-start,,,,,,,,"write-start",
start,2023-04-24T17:59:00.881321,,257,9873,running,cli,,,prepare,,,,,,,,"prepare",
info,2023-04-24T17:59:00.881359,,257,9873,running,cli,,cdb,prepare,,,,,,,,"prepare",
info,2023-04-24T17:59:00.892335,,257,9873,running,cli,,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2023-04-24T17:59:00.894816,0.013495,257,9873,running,cli,,,prepare,,,,,,,,"prepare",
start,2023-04-24T17:59:00.894908,,257,9873,running,cli,,,commit,,,,,,,,"commit",
info,2023-04-24T17:59:00.894945,,257,9873,running,cli,,cdb,commit,,,,,,,,"commit",
start,2023-04-24T17:59:00.895094,,257,9873,running,cli,,cdb,,,,,,,,,"switch to new running",
stop,2023-04-24T17:59:00.905297,0.010203,257,9873,running,cli,,cdb,,,,,,,,,"switch to new running",
info,2023-04-24T17:59:00.905409,,257,9873,running,cli,,cdb,,,,,,,,,"delivering commit subscription notifications at prio 1",
