EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
start,2025-11-03T08:41:38.964761,,95cca036d0262aef37c28bc180c3da16,3853c48894969ccd,6b18214daf439664,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
stop,2025-11-03T08:41:38.964820,0.000059,95cca036d0262aef37c28bc180c3da16,3853c48894969ccd,6b18214daf439664,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
start,2025-11-03T08:41:38.964950,,95cca036d0262aef37c28bc180c3da16,056f162a54328ad9,6b18214daf439664,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:41:38.965131,,95cca036d0262aef37c28bc180c3da16,457f79475c2b0242,056f162a54328ad9,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:41:38.965367,0.000236,95cca036d0262aef37c28bc180c3da16,457f79475c2b0242,056f162a54328ad9,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:41:38.965474,0.000524,95cca036d0262aef37c28bc180c3da16,056f162a54328ad9,6b18214daf439664,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:41:38.965511,,95cca036d0262aef37c28bc180c3da16,457f79475c2b0242,6b18214daf439664,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:41:38.965908,,95cca036d0262aef37c28bc180c3da16,13db83b0a92f61f3,457f79475c2b0242,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:41:38.971307,0.005399,95cca036d0262aef37c28bc180c3da16,13db83b0a92f61f3,457f79475c2b0242,80,6331,running,cli,service-manager,creating service,error,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:41:38.971468,0.005957,95cca036d0262aef37c28bc180c3da16,457f79475c2b0242,6b18214daf439664,80,6331,running,cli,,run transforms and transaction hooks,error,,,,
start,2025-11-03T08:41:38.971534,,95cca036d0262aef37c28bc180c3da16,51a401ee666dc601,6b18214daf439664,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:41:38.971644,0.000110,95cca036d0262aef37c28bc180c3da16,51a401ee666dc601,6b18214daf439664,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
start,2025-11-03T08:41:38.971691,,95cca036d0262aef37c28bc180c3da16,54255fed2f3db3af,6b18214daf439664,80,6331,running,cli,,restore initial checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:41:38.971874,0.000183,95cca036d0262aef37c28bc180c3da16,54255fed2f3db3af,6b18214daf439664,80,6331,running,cli,,restore initial checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:41:38.971928,0.007646,95cca036d0262aef37c28bc180c3da16,6b18214daf439664,5b032bd533d0b0ec,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:43:30.349882,,bddbad6ba28cd5905e8a3b3faf2d3316,d872a46dc48670be,,80,6331,running,cli,,running action,,action,/packages/package[name='service-a']/redeploy,,
stop,2025-11-03T08:43:30.693484,0.343602,bddbad6ba28cd5905e8a3b3faf2d3316,d872a46dc48670be,,80,6331,running,cli,,running action,,action,/packages/package[name='service-a']/redeploy,,
start,2025-11-03T08:43:32.322587,,edd24429af60795e03b75486fb6ae74a,1116c25d73ff2b48,,80,6331,running,cli,,dry run transaction,,,,,
start,2025-11-03T08:43:32.322650,,edd24429af60795e03b75486fb6ae74a,f21f0c0714ca411b,1116c25d73ff2b48,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:43:32.323066,,edd24429af60795e03b75486fb6ae74a,c2f93613b6271b95,f21f0c0714ca411b,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
stop,2025-11-03T08:43:32.323136,0.000070,edd24429af60795e03b75486fb6ae74a,c2f93613b6271b95,f21f0c0714ca411b,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
start,2025-11-03T08:43:32.323340,,edd24429af60795e03b75486fb6ae74a,3059719f79cc322c,f21f0c0714ca411b,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:43:32.323542,,edd24429af60795e03b75486fb6ae74a,68e3669e012f3126,3059719f79cc322c,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:43:32.323760,0.000218,edd24429af60795e03b75486fb6ae74a,68e3669e012f3126,3059719f79cc322c,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:43:32.323899,0.000559,edd24429af60795e03b75486fb6ae74a,3059719f79cc322c,f21f0c0714ca411b,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:43:32.323941,,edd24429af60795e03b75486fb6ae74a,68e3669e012f3126,f21f0c0714ca411b,80,6331,running,cli,,run transforms and transaction hooks,,,,,
start,2025-11-03T08:43:32.324417,,edd24429af60795e03b75486fb6ae74a,bfff4d28895ba09a,68e3669e012f3126,80,6331,running,cli,service-manager,creating service,,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:43:32.340046,0.015629,edd24429af60795e03b75486fb6ae74a,bfff4d28895ba09a,68e3669e012f3126,80,6331,running,cli,service-manager,creating service,error,service,/service-a/service[name='A'],,
,,,,,,,,,,,,,service_operation,create,,
stop,2025-11-03T08:43:32.340194,0.016253,edd24429af60795e03b75486fb6ae74a,68e3669e012f3126,f21f0c0714ca411b,80,6331,running,cli,,run transforms and transaction hooks,error,,,,
start,2025-11-03T08:43:32.340276,,edd24429af60795e03b75486fb6ae74a,74f96ffcd12a3be4,f21f0c0714ca411b,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:43:32.340453,0.000177,edd24429af60795e03b75486fb6ae74a,74f96ffcd12a3be4,f21f0c0714ca411b,80,6331,running,cli,,restore out-of-band checkpoint (requested out-of-band),,,,,
start,2025-11-03T08:43:32.340509,,edd24429af60795e03b75486fb6ae74a,c7ea3a599c57a76f,f21f0c0714ca411b,80,6331,running,cli,,restore initial checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:43:32.340603,0.000094,edd24429af60795e03b75486fb6ae74a,c7ea3a599c57a76f,f21f0c0714ca411b,80,6331,running,cli,,restore initial checkpoint (requested out-of-band),,,,,
stop,2025-11-03T08:43:32.340671,0.018021,edd24429af60795e03b75486fb6ae74a,f21f0c0714ca411b,1116c25d73ff2b48,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:43:41.361946,,4cb16c5614e4fcb217d52528648ac7d2,1bda3c8ce6aea63b,,80,6331,running,cli,,running action,,action,/packages/package[name='service-a']/redeploy,,
stop,2025-11-03T08:43:41.711078,0.349132,4cb16c5614e4fcb217d52528648ac7d2,1bda3c8ce6aea63b,,80,6331,running,cli,,running action,,action,/packages/package[name='service-a']/redeploy,,
start,2025-11-03T08:43:42.761865,,8234fc5d49261ff8b03148401fe21371,cd610731161f1e32,,80,6331,running,cli,,dry run transaction,,,,,
start,2025-11-03T08:43:42.761915,,8234fc5d49261ff8b03148401fe21371,f9d6cfc4442f1586,cd610731161f1e32,80,6331,running,cli,,validate,,transaction_phase,validate,,
start,2025-11-03T08:43:42.762380,,8234fc5d49261ff8b03148401fe21371,68e8628f20a25a7c,f9d6cfc4442f1586,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
stop,2025-11-03T08:43:42.762440,0.000060,8234fc5d49261ff8b03148401fe21371,68e8628f20a25a7c,f9d6cfc4442f1586,80,6331,running,cli,,creating out-of-band checkpoint,,,,,
start,2025-11-03T08:43:42.762589,,8234fc5d49261ff8b03148401fe21371,2afb44640d9f3ac4,f9d6cfc4442f1586,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:43:42.762797,,8234fc5d49261ff8b03148401fe21371,cb6e3bafe93e837d,2afb44640d9f3ac4,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:43:42.763045,0.000248,8234fc5d49261ff8b03148401fe21371,cb6e3bafe93e837d,2afb44640d9f3ac4,80,6331,running,cli,,run pre-transform dependency-triggered validation,,,,,
stop,2025-11-03T08:43:42.763184,0.000595,8234fc5d49261ff8b03148401fe21371,2afb44640d9f3ac4,f9d6cfc4442f1586,80,6331,running,cli,,run pre-transform validation,,,,,
start,2025-11-03T08:43:42.763229,,8234fc5d49261ff8b03148401fe21371,cb6e3bafe93e837d,f9d6cfc4442f1586,80,6331,running,cli,,run transforms and transaction hooks,,,,,
