EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
stop,2023-05-03T22:08:07.501815,0.000408,41,46643,running,cli,,,,,,,,,,,"pre validate",
start,2023-05-03T22:08:07.501855,,41,46643,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-05-03T22:08:07.502443,0.000588,41,46643,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-05-03T22:08:07.502486,,41,46643,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-05-03T22:08:07.502938,0.000452,41,46643,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-05-03T22:08:07.502983,,41,46643,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-05-03T22:08:07.503045,0.000062,41,46643,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-05-03T22:08:07.503106,0.009180,41,46643,running,cli,,,validate,,,,,,,,"validate",
start,2023-05-03T22:08:07.503146,,41,46643,running,cli,,,write-start,,,,,,,,"write-start",
info,2023-05-03T22:08:07.503192,,41,46643,running,cli,,cdb,write-start,,,,,,,,"write-start",
info,2023-05-03T22:08:07.507569,,41,46643,running,cli,,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2023-05-03T22:08:07.507874,,41,46643,running,cli,,cdb,,,,,,,,,"match subscribers",
stop,2023-05-03T22:08:07.507955,0.000081,41,46643,running,cli,,cdb,,,,,,,,,"match subscribers",
start,2023-05-03T22:08:07.507989,,41,46643,running,cli,,cdb,,,,,,,,,"create pre commit running",
stop,2023-05-03T22:08:07.510906,0.002917,41,46643,running,cli,,cdb,,,,,,,,,"create pre commit running",
start,2023-05-03T22:08:07.510955,,41,46643,running,cli,,cdb,,,,,,,,,"write changeset",
